STRIP_ID; LED_ID - Long;Lat
3;7 - -126.00;-15.56
3;8 - -126.00;-7.78
3;9 - -126.00;0.00
3;10 - -126.00;7.78
3;11 - -126.00;15.56
3;12 - -126.00;23.33
3;13 - -126.00;31.11
3;14 - -126.00;38.89
3;15 - -126.00;46.67
3;16 - -126.00;54.44
3;17 - -126.00;62.22
3;18 - -126.00;70.00
3;19 - 54.00;-70.00
3;20 - 54.00;-62.22
3;21 - 54.00;-54.44
3;22 - 54.00;-46.67
3;23 - 54.00;-38.89
3;24 - 54.00;-31.11
3;25 - 54.00;-23.33
3;26 - 54.00;-15.56
3;27 - 54.00;-7.78
3;28 - 54.00;0.00
3;29 - 54.00;7.78
3;30 - 54.00;15.56
3;31 - 54.00;23.33
3;32 - 54.00;31.11
3;33 - 54.00;38.89
3;34 - 54.00;46.67
3;35 - 54.00;54.44
3;36 - 54.00;62.22
3;37 - 54.00;70.00
4;0 - -108.00;-70.00
4;1 - -108.00;-62.22
4;2 - -108.00;-54.44
4;3 - -108.00;-46.67
4;4 - -108.00;-38.89
4;5 - -108.00;-31.11
4;6 - -108.00;-23.33
4;7 - -108.00;-15.56
4;8 - -108.00;-7.78
4;9 - -108.00;0.00
4;10 - -108.00;7.78
4;11 - -108.00;15.56
4;12 - -108.00;23.33
4;13 - -108.00;31.11
4;14 - -108.00;38.89
4;15 - -108.00;46.67
4;16 - -108.00;54.44
4;17 - -108.00;62.22
4;18 - -108.00;70.00
4;19 - 72.00;-70.00
4;20 - 72.00;-62.22
4;21 - 72.00;-54.44
4;22 - 72.00;-46.67
4;23 - 72.00;-38.89
4;24 - 72.00;-31.11
4;25 - 72.00;-23.33
4;26 - 72.00;-15.56
4;27 - 72.00;-7.78
4;28 - 72.00;0.00
4;29 - 72.00;7.78
4;30 - 72.00;15.56
4;31 - 72.00;23.33
4;32 - 72.00;31.11
4;33 - 72.00;38.89
4;34 - 72.00;46.67
4;35 - 72.00;54.44
4;36 - 72.00;62.22
4;37 - 72.00;70.00
5;0 - -90.00;-70.00
5;1 - -90.00;-62.22
5;2 - -90.00;-54.44
5;3 - -90.00;-46.67
5;4 - -90.00;-38.89
5;5 - -90.00;-31.11
5;6 - -90.00;-23.33
5;7 - -90.00;-15.56
5;8 - -90.00;-7.78
5;9 - -90.00;0.00
5;10 - -90.00;7.78
5;11 - -90.00;15.56
5;12 - -90.00;23.33
5;13 - -90.00;31.11
5;14 - -90.00;38.89
5;15 - -90.00;46.67
5;16 - -90.00;54.44
5;17 - -90.00;62.22
5;18 - -90.00;70.00
5;19 - 90.00;-70.00
5;20 - 90.00;-62.22
5;21 - 90.00;-54.44
5;22 - 90.00;-46.67
5;23 - 90.00;-38.89
5;24 - 90.00;-31.11
5;25 - 90.00;-23.33
5;26 - 90.00;-15.56
5;27 - 90.00;-7.78
5;28 - 90.00;0.00
5;29 - 90.00;7.78
5;30 - 90.00;15.56
5;31 - 90.00;23.33
5;32 - 90.00;31.11
5;33 - 90.00;38.89
5;34 - 90.00;46.67
5;35 - 90.00;54.44
5;36 - 90.00;62.22
5;37 - 90.00;70.00
6;0 - -72.00;-70.00
6;1 - -72.00;-62.22
6;2 - -72.00;-54.44
6;3 - -72.00;-46.67
6;4 - -72.00;-38.89
6;5 - -72.00;-31.11
6;6 - -72.00;-23.33
6;7 - -72.00;-15.56
6;8 - -72.00;-7.78
6;9 - -72.00;0.00
6;10 - -72.00;7.78
6;11 - -72.00;15.56
6;12 - -72.00;23.33
6;13 - -72.00;31.11
6;14 - -72.00;38.89
6;15 - -72.00;46.67
6;16 - -72.00;54.44
6;17 - -72.00;62.22
6;18 - -72.00;70.00
6;19 - 108.00;-70.00
6;20 - 108.00;-62.22
6;21 - 108.00;-54.44
6;22 - 108.00;-46.67
6;23 - 108.00;-38.89
6;24 - 108.00;-31.11
6;25 - 108.00;-23.33
6;26 - 108.00;-15.56
6;27 - 108.00;-7.78
6;28 - 108.00;0.00
6;29 - 108.00;7.78
6;30 - 108.00;15.56
6;31 - 108.00;23.33
6;32 - 108.00;31.11
6;33 - 108.00;38.89
6;34 - 108.00;46.67
6;35 - 108.00;54.44
6;36 - 108.00;62.22
6;37 - 108.00;70.00
7;0 - -54.00;-70.00
7;1 - -54.00;-62.22
7;2 - -54.00;-54.44
7;3 - -54.00;-46.67
7;4 - -54.00;-38.89
7;5 - -54.00;-31.11
7;6 - -54.00;-23.33
7;7 - -54.00;-15.56
7;8 - -54.00;-7.78
7;9 - -54.00;0.00
7;10 - -54.00;7.78
7;11 - -54.00;15.56
7;12 - -54.00;23.33
7;13 - -54.00;31.11
7;14 - -54.00;38.89
7;15 - -54.00;46.67
7;16 - -54.00;54.44
7;17 - -54.00;62.22
7;18 - -54.00;70.00
7;19 - 126.00;-70.00
7;20 - 126.00;-62.22
7;21 - 126.00;-54.44
7;22 - 126.00;-46.67
7;23 - 126.00;-38.89
7;24 - 126.00;-31.11
7;25 - 126.00;-23.33
7;26 - 126.00;-15.56
7;27 - 126.00;-7.78
7;28 - 126.00;0.00
7;29 - 126.00;7.78
7;30 - 126.00;15.56
7;31 - 126.00;23.33
7;32 - 126.00;31.11
7;33 - 126.00;38.89
7;34 - 126.00;46.67
7;35 - 126.00;54.44
7;36 - 126.00;62.22
7;37 - 126.00;70.00
8;0 - -36.00;-70.00
8;1 - -36.00;-62.22
8;2 - -36.00;-54.44
8;3 - -36.00;-46.67
8;4 - -36.00;-38.89
8;5 - -36.00;-31.11
8;6 - -36.00;-23.33
8;7 - -36.00;-15.56
8;8 - -36.00;-7.78
8;9 - -36.00;0.00
8;10 - -36.00;7.78
8;11 - -36.00;15.56
8;12 - -36.00;23.33
8;13 - -36.00;31.11
8;14 - -36.00;38.89
8;15 - -36.00;46.67
8;16 - -36.00;54.44
8;17 - -36.00;62.22
8;18 - -36.00;70.00
8;19 - 144.00;-70.00
8;20 - 144.00;-62.22
8;21 - 144.00;-54.44
8;22 - 144.00;-46.67
8;23 - 144.00;-38.89
8;24 - 144.00;-31.11
8;25 - 144.00;-23.33
8;26 - 144.00;-15.56
8;27 - 144.00;-7.78
8;28 - 144.00;0.00
8;29 - 144.00;7.78
8;30 - 144.00;15.56
8;31 - 144.00;23.33
8;32 - 144.00;31.11
8;33 - 144.00;38.89
8;34 - 144.00;46.67
8;35 - 144.00;54.44
8;36 - 144.00;62.22
8;37 - 144.00;70.00
9;0 - -18.00;-70.00
9;1 - -18.00;-62.22
9;2 - -18.00;-54.44
9;3 - -18.00;-46.67
9;4 - -18.00;-38.89
9;5 - -18.00;-31.11
9;6 - -18.00;-23.33
9;7 - -18.00;-15.56
9;8 - -18.00;-7.78
9;9 - -18.00;0.00
9;10 - -18.00;7.78
9;11 - -18.00;15.56
9;12 - -18.00;23.33
9;13 - -18.00;31.11
9;14 - -18.00;38.89
9;15 - -18.00;46.67
9;16 - -18.00;54.44
9;17 - -18.00;62.22
9;18 - -18.00;70.00
9;19 - 162.00;-70.00
9;20 - 162.00;-62.22
9;21 - 162.00;-54.44
9;22 - 162.00;-46.67
9;23 - 162.00;-38.89
9;24 - 162.00;-31.11
9;25 - 162.00;-23.33
9;26 - 162.00;-15.56
9;27 - 162.00;-7.78
9;28 - 162.00;0.00
9;29 - 162.00;7.78
9;30 - 162.00;15.56
9;31 - 162.00;23.33
9;32 - 162.00;31.11
9;33 - 162.00;38.89
9;34 - 162.00;46.67
9;35 - 162.00;54.44
9;36 - 162.00;62.22
9;37 - 162.00;70.00
